distrito,mpo_inegi
D32002,32018
D32002,32004
D32002,32033
D32002,32011
D32002,32058
D32002,32028
D32002,32003
D32002,32030
D32002,32043
D32002,32015
D32003,32056
D32003,32039
D32003,32051
D32003,32029
D32003,32014
D32003,32022
D32003,32037
D32003,32026
D32003,32007
D32003,32032
D32003,32050
D32003,32027
D32003,32041
D32004,32017
D32004,32038
D32004,32024
D32004,32016
D32004,32057
D32004,32054
D32004,32052
D32004,32035
D32004,32053
D02001,2002
D02002,2002
D02004,2004
D02005,2004
D02006,2004
D02007,2002
D02007,2001
D02007,2003
D02007,2005
D02008,2004
D03002,3008
D03002,3003
D06002,6007
D06002,6009
D06002,6001
D06002,6008
D06002,6006
D07001,7065
D07001,7096
D07001,7077
D07001,7109
D07001,7100
D07001,7076
D07001,7016
D07001,7050
D07005,7078
D07005,7023
D07005,7093
D07005,7111
D07005,7112
D07005,7110
D07006,7101
D07006,7027
D07006,7061
D07006,7002
D07006,7086
D07006,7098
D07006,7028
D07009,7101
D07012,7089
D07012,7015
D07012,7102
D07012,7087
D07012,7105
D07012,7035
D07012,7055
D08001,8037
D09001,9005
D09002,9005
D09003,9002
D09004,9007
D09005,9012
D09008,9015
D09008,9017
D09009,9011
D09012,9015
D09013,9006
D09014,9012
D09018,9007
D09019,9007
D09020,9007
D09021,9013
D09021,9009
D09022,9007
D12004,12001
D12005,12066
D12005,12052
D12005,12071
D12005,12041
D12005,12045
D12005,12062
D12005,12043
D12005,12004
D12005,12078
D12005,12033
D12005,12069
D12005,12036
D12005,12081
D12005,12024
D12005,12065
D12005,12070
D12005,12005
D12005,12009
D12009,12001
D13002,13030
D13002,13084
D13002,13059
D13002,13054
D13002,13018
D13002,13050
D13002,13006
D13002,13015
D13002,13019
D13002,13049
D13002,13055
D13002,13058
D13002,13031
D13002,13040
D13002,13043
D13002,13047
D13003,13003
D13003,13041
D13003,13052
D13003,13023
D13003,13081
D13003,13012
D13003,13037
D13003,13070
D13003,13009
D13003,13005
D13003,13024
D13003,13039
D13003,13065
D13003,13071
D13003,13045
D13003,13036
D13003,13038
D13003,13033
D13003,13020
D13004,13077
D13004,13016
D13004,13002
D13004,13056
D13004,13027
D13004,13001
D13004,13053
D13004,13060
D13004,13035
D13004,13004
D13005,13076
D13005,13063
D13005,13067
D13005,13029
D13005,13013
D13005,13010
D13005,13074
D13005,13044
D13005,13017
