distrito,AdultosMayores,ApoyoMadresTrab,BecasUniv,BenitoJuarez,BienestarDiscapacitados,CreditoGanaPalabra,FertiGuerrero,JoCuFu,MediaSuperior,MejoramientoUrbano-RYCJ,MejoUrbano-VAB,PNR-ReconstruViv,PrBiPeEmSoNa,ProdBienProdCafe,ProdBienProdCanaAzu,ProdBienProdIndig,ProdBienPyMProd,SembrandoVida
D09021,39692,923,311.0,929,5248,0.0,2.0,4554,14083.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,301,1.0
D09022,138482,2009,447.0,3283,18314,0.0,5.0,9302,28901.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0,722,1.0
D09023,71283,762,293.0,889,5583,0.0,3.0,3177,23782.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,219,0.0
D09024,102877,1301,409.0,1443,9031,0.0,5.0,6375,34182.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,395,0.0
D10001,51637,3949,2445.0,23818,5062,49.0,0.0,5724,2749.0,0.0,0.0,0.0,0.0,0.0,2.0,331.0,20269,6521.0
D10002,28158,697,975.0,5173,2009,0.0,0.0,1249,812.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6048,380.0
D10003,33307,588,1124.0,5438,2499,17.0,0.0,2088,1919.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20269,2923.0
D10004,36294,3474,1940.0,10114,3243,44.0,0.0,3509,129.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4917,9.0
D11001,24923,442,352.0,6356,2360,0.0,1.0,860,745.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5500,0.0
D11002,43513,1116,1312.0,20785,3337,0.0,1.0,1361,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5393,0.0
D11003,73759,3170,1066.0,30692,4921,0.0,1.0,3667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1747,0.0
D11004,20357,602,673.0,7135,1528,0.0,0.0,741,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6292,0.0
D11005,73759,3170,1066.0,30692,4921,0.0,1.0,3667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1747,0.0
D11006,73759,3170,1066.0,30692,4921,0.0,1.0,3667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1747,0.0
D11007,26217,532,468.0,9823,2021,0.0,0.0,448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7648,0.0
D11008,26459,598,695.0,5667,1963,0.0,0.0,504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4151,0.0
D11009,41387,850,998.0,26002,3238,0.0,0.0,1437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4892,0.0
D11010,33507,1021,1289.0,7992,1751,0.0,0.0,1178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4818,0.0
D11011,73759,3170,1066.0,30692,4921,0.0,1.0,3667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1747,0.0
D11012,26871,760,1092.0,15381,1622,0.0,0.0,1025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1116,0.0
D11013,30098,388,687.0,13705,1932,0.0,8.0,861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10270,0.0
D11014,29484,363,92.0,7013,2072,0.0,1.0,1465,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9007,0.0
D11015,32223,679,881.0,17815,2146,0.0,0.0,1326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3597,0.0
D12001,31750,932,1450.0,14434,4264,0.0,28691.0,17179,1882.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,13968,0.0
D12002,29477,1058,2078.0,13326,3106,0.0,9265.0,6904,552.0,0.0,0.0,25.0,0.0,1.0,3.0,69.0,6197,0.0
D12003,28794,383,987.0,24489,4209,0.0,10259.0,12987,960.0,0.0,0.0,0.0,0.0,1826.0,1.0,3.0,11094,0.0
D12004,52165,1276,4643.0,27703,4294,11.0,5664.0,10048,139.0,413.0,1532.0,0.0,0.0,6.0,3.0,16.0,6173,0.0
D12005,26002,719,1560.0,11450,5208,17.0,23194.0,4443,5375.0,0.0,0.0,0.0,0.0,2201.0,0.0,13855.0,13947,0.0
D12006,24182,390,424.0,17834,4750,0.0,30379.0,5679,3564.0,0.0,0.0,0.0,0.0,531.0,0.0,11225.0,17123,0.0
D12007,18881,1554,4880.0,22314,2910,17.0,10713.0,11868,1765.0,0.0,0.0,0.0,0.0,18.0,1.0,23.0,10942,0.0
D12008,24034,470,1294.0,15866,3981,92.0,14012.0,6152,929.0,0.0,0.0,0.0,0.0,2.0,1.0,240.0,15170,1.0
D12009,52165,1276,4643.0,27703,4294,11.0,5664.0,10048,139.0,413.0,1532.0,0.0,0.0,6.0,3.0,16.0,6173,0.0
D13001,37398,404,2321.0,21155,4092,0.0,0.0,3765,3452.0,0.0,0.0,0.0,0.0,374.0,0.0,3726.0,13275,0.0
D13002,34034,643,1385.0,9091,2618,0.0,0.0,3006,1214.0,0.0,0.0,2.0,0.0,54.0,0.0,1125.0,8455,0.0
D13003,30987,715,4781.0,12634,1959,0.0,0.0,2958,467.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,8058,0.0
D13004,29014,1043,1530.0,18525,2085,1.0,1.0,5200,1782.0,0.0,0.0,0.0,0.0,774.0,0.0,652.0,6893,0.0
D13005,27989,513,1013.0,12885,1606,0.0,0.0,2013,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,8844,0.0
D13006,26821,918,3059.0,11041,2335,0.0,0.0,4317,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1648,0.0
D13007,23173,1064,2445.0,7073,1344,0.0,0.0,3636,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8469,0.0
D14001,28940,526,3210.0,2429,1708,0.0,0.0,1646,1706.0,0.0,0.0,0.0,0.0,1.0,1973.0,283.0,8349,1.0
D14002,22298,310,233.0,1354,1793,0.0,0.0,1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4443,0.0
D14003,30525,647,328.0,634,1587,0.0,0.0,1780,44.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3876,0.0
D14004,68122,1130,239.0,18378,2850,0.0,1.0,2163,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1298,0.0
D14005,20710,401,375.0,1251,729,0.0,1.0,503,519.0,0.0,0.0,0.0,0.0,85.0,5.0,0.0,3303,0.0
D14006,68122,1130,239.0,18378,2850,0.0,1.0,2163,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1298,0.0
D14007,15274,594,37.0,10714,901,0.0,1.0,792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,140,0.0
D14008,129427,1296,1309.0,9249,2949,1.0,1.0,2949,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,855,0.0
D14009,129427,1296,1309.0,9249,2949,1.0,1.0,2949,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,855,0.0
D14010,68122,1130,239.0,18378,2850,0.0,1.0,2163,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1298,0.0
D14011,129427,1296,1309.0,9249,2949,1.0,1.0,2949,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,855,0.0
D14012,12279,247,206.0,10535,1070,0.0,0.0,548,970.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1197,0.0
D14013,94689,1583,244.0,23466,3997,0.0,1.0,2943,0.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,1736,0.0
D14014,129427,1296,1309.0,9249,2949,1.0,1.0,2949,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,855,0.0
D14015,30032,722,328.0,3788,1714,0.0,0.0,1363,32.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8904,0.0
D14016,26567,453,5.0,5088,1147,0.0,0.0,780,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,438,0.0
