distrito,AdultosMayores,ApoyoMadresTrab,BecasUniv,BenitoJuarez,BienestarDiscapacitados,CreditoGanaPalabra,FertiGuerrero,JoCuFu,MediaSuperior,MejoramientoUrbano-RYCJ,MejoUrbano-VAB,PNR-ReconstruViv,PrBiPeEmSoNa,ProdBienProdCafe,ProdBienProdCanaAzu,ProdBienProdIndig,ProdBienPyMProd,SembrandoVida
D23002,58964925.0,1705600.0,12768000.0,24668800.0,12005400.0,9152000.0,4622.0,168361200.0,4051200.0,0.0,0.0,0.0,0.0,0.0,5234100.0,12800.0,87053961.0,19520000.0
D23003,51007650.0,1974400.0,4737600.0,8595200.0,6734550.0,0.0,0.0,32191200.0,0.0,0.0,0.0,0.0,0.0,0.0,73000.0,4800.0,384009.0,25000.0
D23004,67597950.0,2604000.0,5284800.0,14286400.0,10245900.0,2496000.0,0.0,52934400.0,1884800.0,0.0,0.0,0.0,0.0,0.0,116800.0,4800.0,4894911.0,4910000.0
D24001,70214250.0,2074800.0,2683200.0,16776000.0,7685700.0,0.0,0.0,10195200.0,4704000.0,0.0,0.0,0.0,0.0,0.0,14600.0,1600.0,102097894.0,0.0
D24002,54774000.0,2418000.0,4219200.0,15584000.0,5497800.0,0.0,0.0,10296000.0,83200.0,0.0,0.0,0.0,0.0,0.0,21900.0,0.0,20854914.0,0.0
D24003,88486275.0,1804800.0,5851200.0,20278400.0,12500100.0,0.0,0.0,32781600.0,3248000.0,0.0,0.0,0.0,0.0,0.0,277400.0,390400.0,75761515.0,0.0
D24004,65081100.0,1546400.0,4766400.0,17392000.0,8886750.0,0.0,0.0,76744800.0,2854400.0,0.0,0.0,0.0,0.0,0.0,30419100.0,0.0,26185632.0,0.0
D24005,127538250.0,5287200.0,11001600.0,10884800.0,5530950.0,0.0,0.0,25146000.0,713600.0,0.0,0.0,0.0,0.0,0.0,138700.0,0.0,9059241.0,0.0
D24006,127538250.0,5287200.0,11001600.0,10884800.0,5530950.0,0.0,0.0,25146000.0,713600.0,0.0,0.0,0.0,0.0,0.0,138700.0,0.0,9059241.0,0.0
D24007,94806450.0,1017600.0,7910400.0,38673600.0,14494200.0,0.0,0.0,46090800.0,4985600.0,0.0,0.0,0.0,0.0,6810000.0,3591600.0,1600.0,20786717.0,0.0
D25001,114057675.0,5830800.0,4060800.0,13016000.0,9567600.0,0.0,0.0,21693600.0,5542400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45744467.0,0.0
D25002,75973090.0,3589600.0,11476800.0,8152000.0,8555250.0,0.0,0.0,25059600.0,582400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8184591.0,0.0
D25003,97876650.0,3149600.0,2030400.0,19772800.0,10600350.0,0.0,0.0,59155200.0,3865600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73327957.0,0.0
D25004,91161225.0,2686000.0,10113600.0,19752000.0,12204300.0,0.0,0.0,28562400.0,3100800.0,0.0,0.0,0.0,0.0,0.0,0.0,156800.0,21454166.0,0.0
D25005,141837375.0,9002000.0,8851200.0,15129600.0,18441600.0,0.0,6814.0,81864000.0,265600.0,0.0,0.0,0.0,0.0,0.0,2073200.0,0.0,42250186.0,20000.0
D25006,241158600.0,14530400.0,12643200.0,23067200.0,26099250.0,0.0,6814.0,100022400.0,5996800.0,0.0,0.0,0.0,0.0,0.0,2080500.0,4800.0,88450754.0,20000.0
D25007,141837375.0,9002000.0,8851200.0,15129600.0,18441600.0,0.0,6814.0,81864000.0,265600.0,0.0,0.0,0.0,0.0,0.0,2073200.0,0.0,42250186.0,20000.0
