clave_mun,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,pob,mpo_inegi_x,Ranking Modelo_x,pob_2015_x,start_year_x,end_year_x,mpo_ine_x,mpo_inegi_y,Ranking Modelo_y,pob_2015_y,start_year_y,end_year_y,mpo_ine_y,mpo_inegi,Ranking Modelo,pob_2015,start_year,end_year,mpo_ine,date
5032,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345856.0,40256,468,345344,16152,16168,40256.0,40256,468,345344,16152,16168,40256.0,40256,468,345344,16152,16168,40256.0,2020/05
5033,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,106142.0,5033,120,106123,2019,2021,5033.0,5033,120,106123,2019,2021,5033.0,5033,120,106123,2019,2021,5033.0,2020/05
5034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6988.0,5034,120,6988,2019,2021,5034.0,5034,120,6988,2019,2021,5034.0,5034,120,6988,2019,2021,5034.0,2020/05
5035,440.0,104.0,0.0,0.0,512.0,0.0,0.0,8.0,8.0,24.0,5434304.0,40280,1016,5430272,16152,16168,40280.0,40280,1016,5430272,16152,16168,40280.0,40280,1016,5430272,16152,16168,40280.0,2020/05
5036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21549.0,5036,160,21537,2019,2021,5036.0,5036,160,21537,2019,2021,5036.0,5036,160,21537,2019,2021,5036.0,2020/05
5037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6352.0,5037,112,6350,2019,2021,5037.0,5037,112,6350,2019,2021,5037.0,5037,112,6350,2019,2021,5037.0,2020/05
5038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13257.0,5038,5,13247,2019,2021,5038.0,5038,5,13247,2019,2021,5038.0,5038,5,13247,2019,2021,5038.0,2020/05
6001,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29599.0,6001,226,29570,2018,2021,6006.0,6001,226,29570,2018,2021,6006.0,6001,226,29570,2018,2021,6006.0,2020/05
6002,43.0,10.0,0.0,0.0,17.0,0.0,0.0,1.0,2.0,6.0,150673.0,6002,83,150660,2018,2021,6001.0,6002,83,150660,2018,2021,6001.0,6002,83,150660,2018,2021,6001.0,2020/05
6003,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21544.0,6003,83,21539,2018,2021,6002.0,6003,83,21539,2018,2021,6002.0,6003,83,21539,2018,2021,6002.0,2020/05
